,name,qid,measure,value
0,BR(BM25),1,map,0.19326057344301198
6,BR(BM25),11,map,0.178061571215672
7,BR(BM25),12,map,0.0010567632850241547
8,BR(BM25),13,map,0.02174680016828973
9,BR(BM25),14,map,0.08151480432394989
10,BR(BM25),15,map,0.4181152433425161
11,BR(BM25),17,map,0.04528010403242258
12,BR(BM25),18,map,0.3782467532467532
13,BR(BM25),19,map,0.680001002115435
1,BR(BM25),2,map,0.08696386355960824
14,BR(BM25),20,map,0.06400567461177843
15,BR(BM25),21,map,0.035868450497612475
16,BR(BM25),22,map,0.2665733668476988
17,BR(BM25),23,map,0.28479983281078064
18,BR(BM25),24,map,0.20998845134811367
19,BR(BM25),25,map,0.09214557083143501
20,BR(BM25),26,map,0.09054816904166436
21,BR(BM25),27,map,0.08377857832421073
22,BR(BM25),28,map,0.09963180991912392
23,BR(BM25),29,map,0.01040160642570281
2,BR(BM25),3,map,0.0679801240123792
24,BR(BM25),30,map,0.15428302361719762
25,BR(BM25),31,map,0.10143632145783586
26,BR(BM25),32,map,0.009369740891331753
27,BR(BM25),33,map,0.4245813710099425
28,BR(BM25),34,map,0.193187315666563
29,BR(BM25),35,map,0.06353642798822064
30,BR(BM25),36,map,0.000624099650760675
31,BR(BM25),37,map,0.22241471374042937
32,BR(BM25),38,map,0.2755941519558737
33,BR(BM25),39,map,0.12291551456779683
3,BR(BM25),4,map,0.43383838383838386
34,BR(BM25),40,map,0.08212819864424901
35,BR(BM25),41,map,0.20566150016843904
36,BR(BM25),42,map,0.20084442201350916
37,BR(BM25),43,map,0.228857456408398
38,BR(BM25),44,map,0.10449307995125874
39,BR(BM25),45,map,0.07010655030050322
40,BR(BM25),46,map,0.2322393796818513
41,BR(BM25),47,map,0.1743530960219755
42,BR(BM25),49,map,0.06909188904243053
4,BR(BM25),5,map,0.22657805257528033
43,BR(BM25),50,map,0.16075128549355353
44,BR(BM25),51,map,0.04995204773591739
45,BR(BM25),52,map,0.1088980548981074
46,BR(BM25),53,map,0.2902056277056277
47,BR(BM25),54,map,0.2761368630403474
48,BR(BM25),55,map,0.07625217774780917
49,BR(BM25),56,map,0.01876760170863884
5,BR(BM25),7,map,0.5562609599534432
